DEBUG 2020-02-09 09:05:50,134 - setting property geometry
DEBUG 2020-02-09 09:05:50,135 - setting property text
DEBUG 2020-02-09 09:05:50,135 - push QRadioButton optionTypeABCButtonTwo
DEBUG 2020-02-09 09:05:50,135 - pop widget QRadioButton optionTypeABCButtonTwo
DEBUG 2020-02-09 09:05:50,135 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x049D3170>
DEBUG 2020-02-09 09:05:50,135 - setting property geometry
DEBUG 2020-02-09 09:05:50,135 - setting property text
DEBUG 2020-02-09 09:05:50,135 - push QRadioButton optionTypeABCButtonThree
DEBUG 2020-02-09 09:05:50,135 - pop widget QRadioButton optionTypeABCButtonThree
DEBUG 2020-02-09 09:05:50,135 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x049D3170>
DEBUG 2020-02-09 09:05:50,135 - setting property geometry
DEBUG 2020-02-09 09:05:50,135 - setting property text
DEBUG 2020-02-09 09:05:50,136 - push QRadioButton optionTypeABCButtonFour
DEBUG 2020-02-09 09:05:50,136 - pop widget QRadioButton optionTypeABCButtonFour
DEBUG 2020-02-09 09:05:50,136 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x049D3170>
DEBUG 2020-02-09 09:05:50,136 - setting property geometry
DEBUG 2020-02-09 09:05:50,136 - setting property text
DEBUG 2020-02-09 09:05:50,136 - push QRadioButton optionTypeABCButtonFive
DEBUG 2020-02-09 09:05:50,136 - pop widget QRadioButton optionTypeABCButtonFive
DEBUG 2020-02-09 09:05:50,136 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x049D3170>
DEBUG 2020-02-09 09:05:50,136 - pop widget QGroupBox tokenRadioBox
DEBUG 2020-02-09 09:05:50,136 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x047E4BC0>
DEBUG 2020-02-09 09:05:50,136 - setting property geometry
DEBUG 2020-02-09 09:05:50,136 - setting property text
DEBUG 2020-02-09 09:05:50,137 - push QPushButton optionTypeABCRandomButton
DEBUG 2020-02-09 09:05:50,137 - pop widget QPushButton optionTypeABCRandomButton
DEBUG 2020-02-09 09:05:50,137 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x047E4BC0>
DEBUG 2020-02-09 09:05:50,137 - setting property geometry
DEBUG 2020-02-09 09:05:50,137 - setting property text
DEBUG 2020-02-09 09:05:50,137 - push QPushButton givenCopyButton
DEBUG 2020-02-09 09:05:50,137 - pop widget QPushButton givenCopyButton
DEBUG 2020-02-09 09:05:50,137 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x047E4BC0>
DEBUG 2020-02-09 09:05:50,137 - setting property geometry
DEBUG 2020-02-09 09:05:50,137 - setting property text
DEBUG 2020-02-09 09:05:50,137 - push QPushButton firstCopyButton
DEBUG 2020-02-09 09:05:50,138 - pop widget QPushButton firstCopyButton
DEBUG 2020-02-09 09:05:50,138 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x047E4BC0>
DEBUG 2020-02-09 09:05:50,138 - setting property geometry
DEBUG 2020-02-09 09:05:50,138 - setting property text
DEBUG 2020-02-09 09:05:50,138 - push QPushButton secondCopyButton
DEBUG 2020-02-09 09:05:50,138 - pop widget QPushButton secondCopyButton
DEBUG 2020-02-09 09:05:50,138 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x047E4BC0>
DEBUG 2020-02-09 09:05:50,138 - setting property geometry
DEBUG 2020-02-09 09:05:50,138 - setting property text
DEBUG 2020-02-09 09:05:50,138 - push QPushButton thirdCopyButton
DEBUG 2020-02-09 09:05:50,138 - pop widget QPushButton thirdCopyButton
DEBUG 2020-02-09 09:05:50,139 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x047E4BC0>
DEBUG 2020-02-09 09:05:50,139 - setting property geometry
DEBUG 2020-02-09 09:05:50,139 - setting property text
DEBUG 2020-02-09 09:05:50,139 - push QPushButton tokenChoiceCopyButton
DEBUG 2020-02-09 09:05:50,139 - pop widget QPushButton tokenChoiceCopyButton
DEBUG 2020-02-09 09:05:50,139 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x047E4BC0>
DEBUG 2020-02-09 09:05:50,139 - pop widget QWidget token
DEBUG 2020-02-09 09:05:50,139 - new topwidget <PyQt5.QtWidgets.QTabWidget object at 0x047E48A0>
DEBUG 2020-02-09 09:05:50,139 - push QWidget insertion
DEBUG 2020-02-09 09:05:50,139 - setting property geometry
DEBUG 2020-02-09 09:05:50,139 - setting property text
DEBUG 2020-02-09 09:05:50,140 - push QPushButton insertionAllocateButton
DEBUG 2020-02-09 09:05:50,140 - pop widget QPushButton insertionAllocateButton
DEBUG 2020-02-09 09:05:50,140 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x049D3530>
DEBUG 2020-02-09 09:05:50,140 - setting property geometry
DEBUG 2020-02-09 09:05:50,140 - push QTextEdit insertionFullText
DEBUG 2020-02-09 09:05:50,140 - pop widget QTextEdit insertionFullText
DEBUG 2020-02-09 09:05:50,140 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x049D3530>
DEBUG 2020-02-09 09:05:50,140 - setting property geometry
DEBUG 2020-02-09 09:05:50,141 - setting property text
DEBUG 2020-02-09 09:05:50,141 - push QPushButton insertionGivenCopyButton
DEBUG 2020-02-09 09:05:50,141 - pop widget QPushButton insertionGivenCopyButton
DEBUG 2020-02-09 09:05:50,141 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x049D3530>
DEBUG 2020-02-09 09:05:50,141 - setting property geometry
DEBUG 2020-02-09 09:05:50,141 - setting property text
DEBUG 2020-02-09 09:05:50,141 - push QPushButton insertionTextCopyButton
DEBUG 2020-02-09 09:05:50,141 - pop widget QPushButton insertionTextCopyButton
DEBUG 2020-02-09 09:05:50,141 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x049D3530>
DEBUG 2020-02-09 09:05:50,141 - setting property geometry
DEBUG 2020-02-09 09:05:50,141 - setting property text
DEBUG 2020-02-09 09:05:50,142 - push QLabel insertionGivenLabel
DEBUG 2020-02-09 09:05:50,142 - pop widget QLabel insertionGivenLabel
DEBUG 2020-02-09 09:05:50,142 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x049D3530>
DEBUG 2020-02-09 09:05:50,142 - setting property geometry
DEBUG 2020-02-09 09:05:50,142 - setting property text
DEBUG 2020-02-09 09:05:50,142 - push QLabel insertionFullTextLabel
DEBUG 2020-02-09 09:05:50,142 - pop widget QLabel insertionFullTextLabel
DEBUG 2020-02-09 09:05:50,142 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x049D3530>
DEBUG 2020-02-09 09:05:50,142 - setting property geometry
DEBUG 2020-02-09 09:05:50,142 - setting property title
DEBUG 2020-02-09 09:05:50,143 - push QGroupBox groupBox
DEBUG 2020-02-09 09:05:50,143 - setting property geometry
DEBUG 2020-02-09 09:05:50,143 - setting property text
DEBUG 2020-02-09 09:05:50,143 - push QRadioButton insertionOne
DEBUG 2020-02-09 09:05:50,143 - pop widget QRadioButton insertionOne
DEBUG 2020-02-09 09:05:50,143 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x049D3760>
DEBUG 2020-02-09 09:05:50,143 - setting property geometry
DEBUG 2020-02-09 09:05:50,143 - setting property text
DEBUG 2020-02-09 09:05:50,143 - push QRadioButton insertionTwo
DEBUG 2020-02-09 09:05:50,143 - pop widget QRadioButton insertionTwo
DEBUG 2020-02-09 09:05:50,143 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x049D3760>
DEBUG 2020-02-09 09:05:50,144 - setting property geometry
DEBUG 2020-02-09 09:05:50,144 - setting property text
